iter	RMSE
0	102.6509811
1	94.00320286
2	86.36819467
3	79.85331464
4	73.91828568
5	68.56294217
6	63.52668566
7	58.53212075
8	53.93559385
9	49.97132317
10	46.37949014
11	43.08427641
12	40.0604034
13	37.25770637
14	34.72791091
15	32.38207543
16	30.19386754
17	28.32674675
18	26.46601768
19	24.89024628
20	23.29684374
21	22.11262272
22	20.83607498
23	19.69946596
24	18.76144618
25	17.86019484
26	16.9155041
27	16.08787238
28	15.46228826
29	15.23586967
30	14.51798837
31	14.24124421
32	13.63331513
33	13.00206368
34	12.7821843
35	12.22589947
36	12.01821406
37	11.8174627
38	11.62290626
39	11.34434662
40	11.14178829
41	10.92933435
42	10.75921102
43	10.30902003
44	10.14720428
45	9.989571432
46	9.615926613
47	9.460313961
48	9.293909826
49	9.089157242
50	8.955090762
51	8.819058654
52	8.48236077
53	8.369241595
54	8.145586866
55	8.025036427
56	7.672314208
57	7.558212733
58	7.459969922
59	7.365406258
60	7.077275331
61	6.793901464
62	6.703968468
63	6.618615611
64	6.536203865
65	6.450581701
66	6.352315573
67	6.138556996
68	5.90622845
69	5.834690087
70	5.616635215
71	5.509807301
72	5.429257029
73	5.362008333
74	5.261871264
75	5.033693405
76	4.975514955
77	4.919657623
78	4.865774686
79	4.808447052
80	4.652204253
81	4.603422148
82	4.552928342
83	4.48328508
84	4.297231235
85	4.254195819
86	4.095628696
87	4.055004923
88	4.016074831
89	3.967641505
90	3.909488796
91	3.765382625
92	3.728933403
93	3.689066021
94	3.649513529
95	3.617232382
96	3.50307156
97	3.456122232
98	3.326583791
99	3.292730085
100	3.266836736
101	3.235383024
102	3.202595589
103	3.09956632
104	3.071212931
105	3.041716075
106	2.952299352
107	2.918093204
108	2.89434287
109	2.870735686
110	2.772350922
111	2.753930549
112	2.732458868
113	2.71189663
114	2.638408643
115	2.617287366
116	2.54470855
117	2.519777361
118	2.502800458
119	2.47965196
120	2.457668505
121	2.395626707
122	2.380875598
123	2.340323864
124	2.329222052
125	2.318628484
126	2.304202752
127	2.247944566
128	2.236221634
129	2.227230631
130	2.162578279
131	2.154183775
132	2.14394684
133	2.104617786
134	2.097192002
135	2.088073798
136	2.039996891
137	2.026199172
138	2.01993959
139	2.007147248
140	1.973221292
141	1.964522142
142	1.91663253
143	1.908005872
144	1.870666206
145	1.865929261
146	1.85985106
147	1.830461705
148	1.826331496
149	1.820900028
150	1.780777852
151	1.775779565
152	1.771017253
153	1.746006397
154	1.741607266
155	1.738587137
156	1.727458303
157	1.70284637
158	1.687659272
159	1.662281108
160	1.658755112
161	1.656407399
162	1.642053656
163	1.632737893
164	1.630682747
165	1.608900996
166	1.597834557
167	1.595064469
168	1.574826518
169	1.573172557
170	1.563451457
171	1.555364845
172	1.536897798
173	1.528306753
174	1.526652736
175	1.50905062
176	1.507501793
177	1.501062427
178	1.4996377
179	1.483332847
180	1.474417634
181	1.447648594
182	1.439430849
183	1.431910172
184	1.430769163
185	1.423895292
186	1.42200684
187	1.420997839
188	1.405762141
189	1.398516243
190	1.389995093
191	1.385055248
192	1.378498481
193	1.377654195
194	1.365871396
195	1.357507995
196	1.351560861
197	1.350382836
198	1.342514547
199	1.335912114
200	1.327055301
201	1.315182503
202	1.292596649
203	1.287451543
204	1.281831044
205	1.276911746
206	1.257320998
207	1.250274768
208	1.245434365
209	1.240970669
210	1.235325149
211	1.223009792
212	1.208493595
213	1.199886292
214	1.194253007
215	1.188697085
216	1.180730331
217	1.175535095
218	1.161781061
219	1.158112424
220	1.151042773
221	1.147991052
222	1.141004685
223	1.134416321
224	1.131223967
225	1.114753919
226	1.102549847
227	1.090887355
228	1.080340382
229	1.072423281
230	1.06650759
231	1.063526257
232	1.047910785
233	1.040822836
234	1.036601818
235	1.027728965
236	1.022774689
237	1.020052528
238	1.009009875
239	1.005256039
240	1.000602756
241	0.9970120007
242	0.9944087985
243	0.9858331359
244	0.9796243691
245	0.9652344366
246	0.9595465595
247	0.9486053128
248	0.9432799589
249	0.9301809315
250	0.9278449164
251	0.9237884549
252	0.9215688647
253	0.9111970121
254	0.9063641712
255	0.9018102617
256	0.8976181015
257	0.8937521029
258	0.8880116114
259	0.8844362966
260	0.8811287986
261	0.8739573306
262	0.8709149014
263	0.8608181601
264	0.8574429807
265	0.8538793078
266	0.8509092792
267	0.8400505275
268	0.8317146925
269	0.8214954024
270	0.8176419963
271	0.8141210716
272	0.8057005826
273	0.797719774
274	0.7899173552
275	0.7842964963
276	0.7818130359
277	0.7759163431
278	0.7735891346
279	0.766689376
280	0.7642670675
281	0.7533440243
282	0.7455709243
283	0.7428633222
284	0.7376016502
285	0.7307178519
286	0.72761506
287	0.7219599171
288	0.7184025826
289	0.7159047263
290	0.7090336271
291	0.7029670257
292	0.700694395
293	0.6979956312
294	0.6934250075
295	0.6883736414
296	0.6792764789
297	0.677223367
298	0.6693097809
299	0.6647380635
300	0.6562930692
301	0.6518818638
302	0.6448189255
303	0.6409491874
304	0.63714256
305	0.6336180853
306	0.6303522139
307	0.6217327066
308	0.6199381447
309	0.6182347458
310	0.6146986074
311	0.6105902483
312	0.6090131483
313	0.6049790447
314	0.6022317151
315	0.5986484425
316	0.5966508749
317	0.5947211702
318	0.5928703227
319	0.5883555486
320	0.5854322201
321	0.5841282516
322	0.5784766642
323	0.5772281871
324	0.57026375
325	0.5662299892
