iter	Passed	Remaining
0	1	1888
1	3	1671
2	4	1589
3	6	1548
4	7	1577
5	9	1562
6	10	1538
7	12	1517
8	13	1511
9	15	1498
10	16	1490
11	18	1483
12	19	1474
13	20	1478
14	22	1470
15	23	1461
16	25	1454
17	26	1456
18	28	1475
19	30	1490
20	32	1495
21	34	1517
22	36	1535
23	37	1539
24	39	1534
25	40	1533
26	42	1529
27	43	1524
28	45	1517
29	46	1517
30	48	1517
31	49	1511
32	51	1506
33	52	1505
34	54	1505
35	56	1502
36	57	1499
37	59	1494
38	60	1490
39	61	1487
40	63	1483
41	64	1479
42	65	1465
43	67	1466
44	68	1460
45	70	1456
46	71	1453
47	73	1451
48	74	1451
49	76	1448
50	77	1444
51	79	1443
52	80	1445
53	82	1446
54	84	1444
55	85	1435
56	87	1442
57	88	1441
58	90	1438
59	91	1440
60	93	1438
61	94	1436
62	96	1433
63	97	1431
64	99	1429
65	101	1431
66	102	1425
67	103	1424
68	105	1425
69	107	1425
70	108	1424
71	110	1424
72	112	1431
73	114	1432
74	116	1432
75	117	1433
76	120	1438
77	121	1439
78	123	1440
79	125	1442
80	127	1444
81	128	1441
82	130	1440
83	132	1443
84	134	1444
85	135	1443
86	137	1444
87	139	1445
88	141	1443
89	143	1452
90	145	1455
91	147	1454
92	148	1447
93	149	1444
94	151	1444
95	152	1438
96	154	1440
97	156	1439
98	158	1438
99	159	1438
100	160	1432
101	162	1434
102	172	1503
103	174	1501
104	175	1499
105	177	1495
106	179	1494
107	180	1492
108	182	1490
109	184	1489
110	186	1490
111	187	1483
112	188	1480
113	190	1478
114	192	1478
115	193	1476
116	195	1475
117	197	1475
118	199	1474
119	200	1472
120	202	1469
121	204	1468
122	205	1465
123	206	1462
124	207	1455
125	208	1448
126	210	1445
127	211	1443
128	213	1440
129	214	1434
130	215	1431
131	216	1425
132	218	1424
133	220	1421
134	220	1416
135	222	1412
136	224	1411
137	225	1409
138	226	1404
139	228	1401
140	229	1398
141	231	1398
142	232	1396
143	234	1393
144	235	1391
145	237	1387
146	238	1385
147	240	1383
148	241	1377
149	242	1375
150	244	1376
151	246	1374
152	247	1371
153	249	1369
154	251	1368
155	252	1364
156	253	1362
157	255	1360
158	257	1359
159	258	1358
160	260	1356
161	261	1352
162	263	1352
163	265	1351
164	266	1347
165	267	1346
166	269	1345
167	271	1344
168	273	1344
169	274	1340
170	276	1338
171	277	1337
172	279	1335
173	281	1335
174	282	1333
175	284	1334
176	286	1333
177	288	1332
178	290	1333
179	292	1331
180	293	1330
181	296	1333
182	298	1334
183	300	1333
184	302	1332
185	304	1331
186	306	1331
187	307	1329
188	309	1328
189	311	1327
190	313	1325
191	314	1323
192	316	1323
193	318	1321
194	319	1320
195	321	1318
196	323	1318
197	325	1317
198	327	1316
199	328	1314
200	330	1313
201	332	1312
202	334	1311
203	335	1310
204	337	1308
205	339	1307
206	341	1306
207	343	1306
208	344	1305
209	347	1305
210	349	1305
211	351	1304
212	352	1303
213	354	1303
214	357	1305
215	359	1304
216	361	1303
217	362	1301
218	364	1300
219	366	1299
220	368	1298
221	370	1297
222	371	1295
223	373	1294
224	375	1293
225	377	1292
226	379	1291
227	381	1290
228	383	1289
229	384	1288
230	386	1286
231	388	1285
232	390	1284
233	391	1283
234	393	1281
235	395	1279
236	396	1277
237	398	1275
238	400	1274
239	401	1272
240	403	1270
241	405	1268
242	406	1267
243	408	1266
244	410	1264
245	411	1262
246	413	1260
247	415	1260
248	417	1258
249	418	1256
250	420	1255
251	422	1253
252	423	1251
253	425	1249
254	427	1248
255	428	1246
256	430	1243
257	431	1241
258	433	1239
259	434	1237
260	436	1235
261	437	1233
262	439	1231
263	440	1228
264	442	1226
265	443	1224
266	445	1222
267	447	1221
268	448	1219
269	450	1218
270	452	1216
271	453	1214
272	455	1212
273	456	1210
274	458	1208
275	460	1207
276	461	1205
277	463	1203
278	464	1201
279	466	1199
280	468	1197
281	469	1195
282	471	1193
283	472	1191
284	474	1190
285	476	1189
286	478	1187
287	479	1185
288	481	1184
289	483	1182
290	484	1181
291	487	1180
292	489	1180
293	491	1179
294	492	1178
295	494	1176
296	496	1174
297	497	1172
298	499	1170
299	501	1169
300	502	1166
301	503	1164
302	505	1163
303	507	1161
304	508	1159
305	510	1157
306	511	1155
307	513	1153
308	515	1151
309	516	1149
310	517	1147
311	519	1146
312	521	1144
313	522	1142
314	524	1140
315	526	1139
316	528	1137
317	529	1135
318	531	1133
319	532	1131
320	534	1129
321	535	1127
322	537	1125
323	538	1124
324	540	1122
325	541	1120
326	543	1118
327	544	1116
328	546	1114
329	548	1112
330	549	1111
331	551	1109
332	553	1107
333	554	1105
334	556	1103
335	557	1102
336	559	1100
337	560	1098
338	562	1096
339	563	1094
340	565	1093
341	567	1091
342	568	1089
343	570	1087
344	571	1085
345	573	1083
346	575	1082
347	576	1080
348	578	1078
349	579	1076
350	581	1074
351	582	1072
352	584	1071
353	585	1069
354	587	1067
355	589	1065
356	590	1063
357	592	1061
358	593	1059
359	595	1057
360	596	1055
361	598	1054
362	599	1052
363	601	1050
364	602	1048
365	604	1046
366	605	1044
367	607	1043
368	608	1041
369	610	1039
370	612	1038
371	614	1037
372	616	1035
373	617	1034
374	619	1032
375	621	1031
376	623	1029
377	624	1028
378	626	1026
379	627	1024
380	629	1022
381	630	1020
382	632	1019
383	634	1017
384	635	1015
385	637	1013
386	638	1011
387	640	1010
388	642	1008
389	643	1006
390	645	1004
391	646	1003
392	648	1001
393	649	999
394	651	997
395	653	996
396	654	994
397	656	992
398	657	990
399	659	989
400	661	987
401	662	985
402	664	983
403	665	982
404	667	980
405	668	978
406	670	977
407	672	975
408	673	973
409	675	972
410	677	970
411	679	969
412	680	967
413	682	965
414	684	964
415	685	962
416	687	961
417	688	959
418	690	957
419	692	955
420	693	954
421	695	952
422	697	950
423	698	949
424	700	947
425	701	945
426	703	944
427	705	942
428	706	940
429	708	938
430	709	937
431	711	935
432	712	933
433	714	931
434	716	930
435	717	928
436	719	926
437	720	924
438	722	923
439	724	921
440	725	919
441	727	918
442	728	916
443	730	914
444	732	912
445	733	911
446	735	909
447	736	907
448	738	905
449	739	904
450	741	902
451	743	900
452	745	899
453	746	898
454	748	896
455	750	895
456	752	893
457	753	892
458	756	891
459	757	889
460	759	888
461	761	886
462	762	884
463	764	883
464	766	881
465	767	879
466	769	878
467	770	876
468	772	874
469	774	873
470	776	871
471	777	869
472	779	867
473	780	866
474	782	864
475	783	862
476	785	860
477	786	859
478	788	857
479	789	855
480	791	854
481	793	852
482	794	850
483	796	848
484	797	847
485	799	845
486	800	843
487	802	841
488	803	840
489	805	838
490	806	836
491	808	834
492	810	833
493	811	831
494	813	829
495	814	827
496	816	826
497	817	824
498	819	822
499	820	820
500	822	819
501	823	817
502	825	815
503	826	813
504	828	812
505	830	810
506	831	808
507	833	807
508	834	805
509	836	803
510	837	801
511	839	800
512	841	798
513	842	797
514	844	795
515	846	793
516	847	791
517	849	790
518	850	788
519	852	786
520	853	785
521	855	783
522	857	781
523	858	780
524	860	778
525	862	776
526	863	775
527	865	773
528	866	771
529	868	770
530	870	768
531	872	767
532	874	765
533	876	764
534	878	763
535	879	761
536	881	760
537	883	758
538	885	757
539	886	755
540	888	753
541	889	751
542	891	750
543	893	748
544	894	746
545	896	745
546	898	744
547	900	742
548	902	740
549	903	739
550	905	737
551	906	735
552	908	734
553	909	732
554	911	730
555	912	728
556	914	727
557	915	725
558	917	723
559	919	722
560	920	720
561	922	718
562	923	716
563	925	715
564	926	713
565	928	711
566	929	709
567	931	708
568	932	706
569	934	704
570	935	703
571	937	701
572	939	700
573	940	698
574	942	696
575	944	695
576	945	693
577	947	691
578	948	689
579	950	688
580	951	686
581	953	684
582	954	682
583	956	681
584	957	679
585	959	677
586	960	676
587	962	674
588	964	672
589	965	671
590	967	669
591	969	667
592	970	666
593	972	664
594	973	662
595	975	661
596	976	659
597	978	657
598	979	656
599	981	654
600	982	652
601	984	650
602	986	649
603	987	647
604	989	645
605	990	644
606	992	642
607	993	640
608	995	638
609	996	637
610	998	635
611	999	633
612	1001	632
613	1003	630
614	1004	628
615	1005	627
616	1007	625
617	1008	623
618	1010	622
619	1012	620
620	1014	618
621	1015	617
622	1017	615
623	1019	614
624	1021	612
625	1023	611
626	1024	609
627	1026	608
628	1028	606
629	1029	604
630	1031	603
631	1032	601
632	1034	599
633	1036	598
634	1038	596
635	1039	595
636	1041	593
637	1043	592
638	1045	590
639	1046	588
640	1048	587
641	1050	585
642	1051	583
643	1053	582
644	1054	580
645	1056	578
646	1058	577
647	1059	575
648	1061	573
649	1063	572
650	1065	570
651	1066	569
652	1068	567
653	1070	566
654	1071	564
655	1073	562
656	1074	561
657	1076	559
658	1077	557
659	1079	556
660	1080	554
661	1082	552
662	1084	551
663	1085	549
664	1087	547
665	1088	546
666	1090	544
667	1092	542
668	1093	541
669	1095	539
670	1096	537
671	1098	536
672	1099	534
673	1101	532
674	1103	531
675	1104	529
676	1106	527
677	1107	525
678	1109	524
679	1110	522
680	1112	520
681	1113	519
682	1115	517
683	1116	515
684	1118	514
685	1119	512
686	1121	510
687	1122	509
688	1124	507
689	1125	505
690	1127	504
691	1129	502
692	1130	500
693	1132	499
694	1133	497
695	1135	495
696	1136	494
697	1138	492
698	1139	490
699	1141	489
700	1143	487
701	1144	485
702	1146	484
703	1147	482
704	1149	480
705	1151	479
706	1153	477
707	1155	476
708	1157	474
709	1158	473
710	1160	471
711	1162	470
712	1164	468
713	1166	467
714	1167	465
715	1169	463
716	1171	462
717	1172	460
718	1173	458
719	1175	457
720	1177	455
721	1178	453
722	1180	452
723	1181	450
724	1183	448
725	1184	447
726	1186	445
727	1187	443
728	1189	442
729	1190	440
730	1192	438
731	1193	437
732	1195	435
733	1196	433
734	1198	432
735	1199	430
736	1201	428
737	1202	427
738	1204	425
739	1205	423
740	1207	421
741	1208	420
742	1210	418
743	1211	416
744	1213	415
745	1214	413
746	1216	411
747	1217	410
748	1219	408
749	1220	406
750	1222	405
751	1224	403
752	1225	402
753	1227	400
754	1228	398
755	1230	397
756	1231	395
757	1233	393
758	1235	392
759	1236	390
760	1238	388
761	1239	387
762	1241	385
763	1243	384
764	1244	382
765	1246	380
766	1248	379
767	1249	377
768	1251	375
769	1252	374
770	1254	372
771	1256	371
772	1258	369
773	1259	367
774	1261	366
775	1262	364
776	1264	362
777	1265	361
778	1267	359
779	1269	357
780	1270	356
781	1272	354
782	1273	353
783	1275	351
784	1276	349
785	1278	347
786	1279	346
787	1281	344
788	1282	343
789	1284	341
790	1285	339
791	1287	338
792	1289	336
793	1290	334
794	1292	333
795	1294	331
796	1296	330
797	1298	328
798	1299	326
799	1301	325
800	1302	323
801	1304	322
802	1306	320
803	1307	318
804	1308	317
805	1310	315
806	1311	313
807	1313	312
808	1314	310
809	1316	308
810	1318	307
811	1319	305
812	1321	304
813	1323	302
814	1324	300
815	1326	299
816	1327	297
817	1329	295
818	1330	294
819	1332	292
820	1333	290
821	1335	289
822	1336	287
823	1338	285
824	1340	284
825	1341	282
826	1343	281
827	1344	279
828	1346	277
829	1348	276
830	1349	274
831	1351	272
832	1352	271
833	1354	269
834	1356	268
835	1357	266
836	1359	264
837	1360	263
838	1362	261
839	1363	259
840	1365	258
841	1366	256
842	1368	254
843	1369	253
844	1371	251
845	1373	249
846	1374	248
847	1376	246
848	1377	245
849	1379	243
850	1380	241
851	1382	240
852	1383	238
853	1385	236
854	1386	235
855	1388	233
856	1389	231
857	1391	230
858	1393	228
859	1394	227
860	1396	225
861	1397	223
862	1399	222
863	1400	220
864	1401	218
865	1403	217
866	1405	215
867	1406	213
868	1408	212
869	1409	210
870	1411	209
871	1412	207
872	1414	205
873	1415	204
874	1417	202
875	1418	200
876	1420	199
877	1422	197
878	1424	196
879	1426	194
880	1429	193
881	1431	191
882	1432	189
883	1434	188
884	1435	186
885	1437	184
886	1438	183
887	1440	181
888	1442	180
889	1443	178
890	1445	176
891	1447	175
892	1448	173
893	1450	171
894	1452	170
895	1453	168
896	1454	167
897	1456	165
898	1458	163
899	1459	162
900	1461	160
901	1462	158
902	1464	157
903	1465	155
904	1467	154
905	1468	152
906	1470	150
907	1472	149
908	1473	147
909	1475	145
910	1476	144
911	1478	142
912	1479	141
913	1481	139
914	1482	137
915	1484	136
916	1485	134
917	1487	132
918	1488	131
919	1490	129
920	1492	127
921	1493	126
922	1495	124
923	1496	123
924	1498	121
925	1499	119
926	1501	118
927	1502	116
928	1504	114
929	1506	113
930	1507	111
931	1509	110
932	1510	108
933	1512	106
934	1513	105
935	1515	103
936	1516	101
937	1518	100
938	1519	98
939	1521	97
940	1522	95
941	1524	93
942	1526	92
943	1528	90
944	1529	89
945	1531	87
946	1532	85
947	1534	84
948	1536	82
949	1537	80
950	1539	79
951	1541	77
952	1542	76
953	1544	74
954	1545	72
955	1547	71
956	1548	69
957	1550	67
958	1552	66
959	1553	64
960	1555	63
961	1556	61
962	1558	59
963	1559	58
964	1561	56
965	1563	55
966	1564	53
967	1566	51
968	1567	50
969	1569	48
970	1571	46
971	1572	45
972	1573	43
973	1575	42
974	1577	40
975	1578	38
976	1580	37
977	1581	35
978	1583	33
979	1584	32
980	1586	30
981	1587	29
982	1589	27
983	1590	25
984	1592	24
985	1593	22
986	1595	21
987	1597	19
988	1598	17
989	1600	16
990	1601	14
991	1603	12
992	1604	11
993	1606	9
994	1607	8
995	1609	6
996	1610	4
997	1612	3
998	1613	1
999	1615	0
